FID,LAD19CD,LAD19NM,LAD19NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length
1,E06000001,Hartlepool, ,447157,531476,-1.27023,54.6762,293902282.077698,112765.69439582
2,E06000002,Middlesbrough, ,451141,516887,-1.21099,54.5447,161869974.061279,70707.5539424132
3,E06000003,Redcar and Cleveland, ,464359,519597,-1.00611,54.5675,753707329.823547,174336.682127206
4,E06000004,Stockton-on-Tees, ,444937,518183,-1.30669,54.5569,622920451.524231,186270.20957814
5,E06000005,Darlington, ,428029,515648,-1.56835,54.5353,586135296.970459,184666.724478853
6,E06000006,Halton, ,354246,382146,-2.68853,53.3342,253101926.598633,101629.223317175
7,E06000007,Warrington, ,362744,388456,-2.56167,53.3916,512404430.012573,141060.356020462
8,E06000008,Blackburn with Darwen, ,369490,422806,-2.4636,53.7008,390314354.583618,110205.599634166
9,E06000009,Blackpool, ,332763,436633,-3.02284,53.8216,123639518.580322,61474.0057980781
10,E06000010,"Kingston upon Hull, City of", ,511894,431716,-0.3038,53.7698,232825813.62709,77736.221270547
11,E06000011,East Riding of Yorkshire, ,488051,443608,-0.66203,53.8812,7164405850.62683,630320.633966558
12,E06000012,North East Lincolnshire, ,523454,404574,-0.13927,53.5234,575583495.775795,151137.993551927
13,E06000013,North Lincolnshire, ,497798,410996,-0.5241,53.5864,2482385930.18948,312398.424441363
14,E06000014,York, ,460864,452589,-1.07375,53.9658,784650942.846924,168833.448255862
15,E06000015,Derby, ,435609,335375,-1.47189,52.9146,214340584.641052,82927.8749638209
16,E06000016,Leicester, ,458946,304594,-1.1304,52.6359,198939349.072205,85527.995285383
17,E06000017,Rutland, ,492992,308655,-0.6263,52.6676,1069019596.47198,207366.344167799
18,E06000018,Nottingham, ,456082,339969,-1.16667,52.9542,205395781.257019,97429.7540284258
19,E06000019,"Herefordshire, County of", ,349434,242834,-2.73931,52.0815,5772015205.52283,569702.612090648
20,E06000020,Telford and Wrekin, ,367035,313057,-2.48941,52.7142,790814575.401733,196100.823661132
21,E06000021,Stoke-on-Trent, ,389438,346652,-2.15888,53.0171,257949246.931152,106301.779154205
22,E06000022,Bath and North East Somerset, ,366217,161999,-2.48654,51.356,899722376.142578,226785.885027581
23,E06000023,"Bristol, City of", ,359990,174846,-2.57742,51.4711,605512674.723877,233050.436826379
24,E06000024,North Somerset, ,347613,166719,-2.75439,51.3971,1002821734.49988,223090.26613529
25,E06000025,South Gloucestershire, ,367559,183196,-2.46922,51.5467,1386617145.79077,254132.572268357
26,E06000026,Plymouth, ,249944,58255,-4.11299,50.4049,207347013.382568,97131.7931809383
27,E06000027,Torbay, ,289730,64608,-3.55523,50.4709,294310517.256348,82291.8901957148
28,E06000030,Swindon, ,418551,186564,-1.73367,51.5776,595176197.845215,165713.133672126
29,E06000031,Peterborough, ,517372,300777,-0.26874,52.5921,930083919.920235,185318.137809003
30,E06000032,Luton, ,508606,222559,-0.42319,51.891,113706332.834229,55978.8580971891
31,E06000033,Southend-on-Sea, ,587776,186833,0.706906,51.5491,175226693.243256,111496.789388329
32,E06000034,Thurrock, ,562126,181586,0.334902,51.5099,475085777.033783,124825.85246286
33,E06000035,Medway, ,578207,175196,0.563173,51.4477,691014562.436737,148239.97452864
34,E06000036,Bracknell Forest, ,488169,168792,-0.73363,51.4113,280875250.826324,100169.824218294
35,E06000037,West Berkshire, ,450575,172095,-1.27364,51.4456,1811669364.43341,267480.836410829
36,E06000038,Reading, ,470226,173154,-0.99071,51.453,103940925.203979,63092.2528674257
37,E06000039,Slough, ,498920,179246,-0.57617,51.5035,83923775.8598328,70938.1902389159
38,E06000040,Windsor and Maidenhead, ,492079,176541,-0.67541,51.4803,511235912.805817,184284.00617315
39,E06000041,Wokingham, ,476624,169902,-0.89935,51.423,459978594.584656,139312.951611303
40,E06000042,Milton Keynes, ,486408,242308,-0.7407,52.0724,816439316.471161,167448.748115762
41,E06000043,Brighton and Hove, ,530279,106849,-0.15079,50.8465,213909163.853943,92328.3598181798
42,E06000044,Portsmouth, ,465607,101357,-1.07023,50.808,150595667.308777,68944.1189065048
43,E06000045,Southampton, ,442253,113608,-1.40025,50.9204,141772956.607422,59122.1372672551
44,E06000046,Isle of Wight, ,447183,85949,-1.33366,50.6713,977588605.81958,197005.68760477
